epoch,loss,L_constraint,L_eqs
0,431.89349616187945,43.151200717430065,0.3814889875787825
200,16.389998956579092,1.6105025691910193,0.28497326466890033
400,3.3429655795006865,0.3204101126535563,0.1388644529651235
600,1.3962796954650052,0.13199948903268172,0.07628480513818818
800,0.8649517277629738,0.08136810970690933,0.05127063069388048
1000,0.6154147115149912,0.05777097343957849,0.03770497711920631
1200,0.4470898155710364,0.041795125318449804,0.029138562386538325
1400,0.34670508405202166,0.03232709809137977,0.023434103138223986
1600,0.2792671810062779,0.025974920078921947,0.019517980217058428
1800,0.2554835755499564,0.023874024177276684,0.01674333377718951
2000,0.1916119905844773,0.017741704522301414,0.014194945361463155
2200,0.16257904032625572,0.015018708685774882,0.012391953468506911
2400,0.15008566498004589,0.013899231024815842,0.011093354731887474
2600,0.12217750936434985,0.011242828289162937,0.00974922647272047
2800,0.6777341303837212,0.06668294295442115,0.010904700839509736
3000,0.09525722998117352,0.008726651357238475,0.007990716408788758
3200,0.08451008655291527,0.007730136561181844,0.007208720941096823
3400,0.07605440452503932,0.006943175242495316,0.006622652100086168
3600,0.07719878716922775,0.00710501174271532,0.006148669742074545
3800,0.06226823366228744,0.005667635307872404,0.005591880583563396
